# t	p	dpdt	w	dwdt	ctrl	T	V
7.70547	-0.0110846	0.035056	-3.16236	-0.459352	0	0.0639335	196.188
7.739	-0.0101261	0.0223143	-3.17618	-0.366703	0	0.0462093	196.19
7.77244	-0.00957919	0.0105066	-3.18699	-0.280842	0	0.0326814	196.191
7.80611	-0.00941894	-0.000954962	-3.19504	-0.197497	0	0.0222162	196.191
7.83966	-0.00964252	-0.0124163	-3.20027	-0.114153	0	0.0143778	196.191
7.87319	-0.0102573	-0.0243734	-3.20266	-0.0272057	0	0.00899997	196.19
7.90682	-0.0112919	-0.0373586	-3.20252	0.0138328	0	0.0119949	196.187
7.94049	-0.0127889	-0.0518813	-3.20201	0.01709	0	0.0235311	196.184
7.97409	-0.0148041	-0.0684846	-3.20128	0.0280043	0	0.0396622	196.179
8.00763	-0.0174168	-0.0878326	-3.20002	0.0489668	0	0.0612634	196.17
8.04115	-0.0207333	-0.110714	-3.19785	0.0827796	-10	0.0896935	196.158
8.07466	-0.0211377	0.0864961	-3.21153	-0.893944	0	0.205119	196.156
8.10829	-0.0186393	0.0625498	-3.23928	-0.757433	0	0.165186	196.166
8.14176	-0.0169083	0.0412509	-3.26248	-0.630784	0	0.131788	196.172
8.17527	-0.0158589	0.0215836	-3.28158	-0.509984	0	0.103681	196.175
8.20878	-0.0154519	0.00279131	-3.2967	-0.392368	0	0.0803713	196.177
8.2423	-0.0156709	-0.0158994	-3.30789	-0.275091	0	0.0616422	196.176
8.27594	-0.016529	-0.035296	-3.31513	-0.155096	0	0.0475822	196.173
8.30953	-0.0180591	-0.0561025	-3.31826	-0.03004	0	0.0387115	196.168
8.34304	-0.0203174	-0.079124	-3.318	0.0288281	-10	0.0539411	196.16
8.37659	-0.0196431	0.119468	-3.33358	-0.953245	0	0.187057	196.162
8.41027	-0.015993	0.0979908	-3.36349	-0.825643	0	0.147369	196.175
8.44391	-0.0130009	0.080532	-3.38932	-0.712698	0	0.11466	196.183
8.47743	-0.0105466	0.0663951	-3.4115	-0.612481	0	0.0877524	196.189
8.51101	-0.00851604	0.0549246	-3.43062	-0.529079	0	0.0678922	196.193
8.54455	-0.00683447	0.0457006	-3.4472	-0.462007	0	0.0538291	196.195
8.57822	-0.00542511	0.0383041	-3.46181	-0.408219	0	0.0437808	196.197
8.61186	-0.00423855	0.0324779	-3.4748	-0.36585	0	0.0366359	196.198
8.64557	-0.00322318	0.02797	-3.48656	-0.333067	0	0.0315734	196.199
8.67924	-0.00234096	0.0246123	-3.49734	-0.308648	0	0.0280666	196.199
8.71298	-0.00155288	0.0222574	-3.50744	-0.291522	0	0.0257416	196.2
8.74645	-0.000834281	0.0208253	-3.51701	-0.281107	0	0.0243819	196.2
8.78002	-0.000147448	0.0202346	-3.52636	-0.276811	0	0.0238331	196.2
8.81354	0.000532526	0.020466	-3.53563	-0.276666	0	0.0236388	196.2
8.84698	0.00123219	0.0215237	-3.54488	-0.276666	0	0.0229124	196.2
8.8806	0.00198583	0.0234627	-3.55419	-0.276666	0	0.0216389	196.2
8.91407	0.00281659	0.0263438	-3.56345	-0.276666	0	0.0198855	196.199
8.9476	0.00376297	0.0302978	-3.57272	-0.276666	0	0.0177495	196.199
8.98118	0.00486375	0.0354892	-3.58201	-0.276666	0	0.0154199	196.198
9.01471	0.00616047	0.042114	-3.59129	-0.276666	0	0.0132299	196.196
9.04835	0.00771269	0.0504771	-3.6006	-0.276666	0	0.0117191	196.194
9.08192	0.00957521	0.0608738	-3.60988	-0.276666	0	0.0117917	196.191
9.11552	0.0118295	0.0737569	-3.61918	-0.276936	0	0.0148842	196.186
9.14906	0.0145602	0.0896078	-3.62857	-0.285192	0	0.0228187	196.179
9.18282	0.0179046	0.109221	-3.63852	-0.306793	0	0.037048	196.169
9.21633	0.0219514	0.133108	-3.64938	-0.344257	0	0.0591103	196.153
9.24989	0.0268938	0.162396	-3.66183	-0.401211	0	0.0917327	196.129
9.28355	0.0329434	0.198314	-3.67662	-0.482004	10	0.13892	196.094
9.31706	0.0365565	0.01809	-3.67618	0.481098	0	0.165362	196.069
9.35059	0.0379063	0.0626733	-3.66357	0.26997	0	0.146996	196.059
9.38415	0.0407902	0.109777	-3.65817	0.0497356	0	0.143692	196.037
9.41771	0.0453233	0.161242	-3.65947	-0.111933	10	0.194762	195.999
9.45122	0.0479448	-0.004196	-3.64871	0.747226	0	0.29474	195.975
9.48488	0.0487764	0.0537711	-3.62792	0.487648	0	0.264464	195.967
9.51861	0.0515971	0.114006	-3.61595	0.219834	10	0.256671	195.939
9.55225	0.0527512	-0.0451392	-3.59455	1.05162	0	0.439012	195.927
9.58576	0.052289	0.0174619	-3.56395	0.775614	0	0.388017	195.932
9.61941	0.0539409	0.081026	-3.54253	0.495938	10	0.361428	195.915
9.65309	0.0540244	-0.0760459	-3.51194	1.3203	0	0.615562	195.914
9.68677	0.0525427	-0.012232	-3.47222	1.03969	0	0.54522	195.929
9.72036	0.0531902	0.0509185	-3.44196	0.761591	10	0.499835	195.923
9.75406	0.0522341	-0.107861	-3.40231	1.59249	0	0.825015	195.932
9.78771	0.0496391	-0.0468949	-3.3533	1.32217	0	0.735764	195.958
9.82128	0.0490568	0.0120964	-3.31333	1.05904	0	0.6695	195.964
9.85485	0.0504559	0.0715434	-3.28221	0.794285	10	0.625187	195.95
9.8884	0.0501549	-0.0895435	-3.2415	1.6327	0	0.962265	195.953
9.92198	0.0481412	-0.0308025	-3.19111	1.37048	0	0.873848	195.973
9.95559	0.0480739	0.026786	-3.14938	1.11234	10	0.806727	195.973
9.9892	0.0462019	-0.13856	-3.09765	1.96703	0	1.23101	195.991
10.0226	0.0424641	-0.0857645	-3.03595	1.72648	0	1.12121	196.023
10.0562	0.0404238	-0.0361115	-2.98183	1.49698	0	1.0295	196.04
10.0897	0.0400204	0.0119157	-2.93549	1.27352	0	0.954093	196.043
